ID|NUM| MARSHRUT| RASPIS| ST1| ST2| V_PUTI| FIRM_NAME| WAGON| ROUTE_LINK
1574|90 | Жмеринка Москва | з 28/03/2016 по парних (крім 4-28/04/2016), при двох непарних 28,30,2 | 22270 | 20007 | 18:29 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1574&by_id=1
1575|148 | Одеса Київ | 27/03-16/04/2016, 1/06-20/09/2016 щоденно; 17/04-31/05/2016, з 22/09/2016 по неділях, вівторках,четвергах | 23600 | 22000 | 12:59 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1575&by_id=1
1576|55 | Москва Хмельницький | з 27/03/2016 по непарних, при двох непарних 29,31,3 | 20007 | 22300 | 19:43 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1576&by_id=1
1577|134 | Лисичанськ Київ | 27/03-7/04/2016 щоденно | 24060 | 22000 | 15:43 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1577&by_id=1
1581|72  | Запоріжжя Київ | з 27/03/2016 щоденно | 22800 | 22000 | 10:53 | "ЗАПОРІЖЖЯ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1581&by_id=1
1582|93 | Мінськ Одеса | 30/03-30/05 (крім 14,18/04/2016), 2/10-10/12/2016 по 2,6,10,14,18,22,26,30 числах кожного місяця; 2/06-30/09/2016 по парних, при двох непарних 28,30,2 | 21000 | 23600 | 22:17 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1582&by_id=1
1584|102 | Київ Херсон | з 27/03/2016 щоденно | 22000 | 23530 | 12:11 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1584&by_id=1
1585|772  | Хмельницький Київ | з 27/03/2016 щоденно | 22300 | 22000 | 5:13 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1585&by_id=1
1586|23  | Москва Одеса | з 27/03/2016 щоденно, крім 4-28/04/2016 | 20007 | 23600 | 22:48 | "ОДЕССА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1586&by_id=1
1590|77 | Москва Ковель | з 27/03/2016 щоденно (крім 6/06/2016) | 20007 | 23020 | 23:43 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1590&by_id=1
1594|775  | Харків Київ | з 27/03/2016 щоденно | 22100 | 22000 | 8:05 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1594&by_id=1
1596|782  | Київ Полтава | з 27/03/2016 щоденно, крім вівторків; 3,10/05/2016 | 22000 | 22590 | 5:33 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1596&by_id=1
1597|209 | Київ Миколаїв | 28/05-19/09/2016 щоденно | 22000 | 23536 | 14:22 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1597&by_id=1
1600|210 | Миколаїв Київ | 27/05-18/09/2016 щоденно | 23536 | 22000 | 14:27 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1600&by_id=1
1601|5  | Москва Київ | з 27/03/2016 щоденно | 20007 | 22000 | 12:31 | "УКРАЇНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1601&by_id=1
1604|67 | Київ Варшава | 27/03-10/06/2016 щоденно | 22000 | 2191 | 17:31 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1604&by_id=1
1606|239 | Ужгород Київ | 3,9/05/2016 | 20095 | 22000 | 15:35 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1606&by_id=1
1607|223 | Київ Одеса | 30/04, 3,7,9/05/2016 | 22000 | 23600 | 9:50 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1607&by_id=1
1608|108 | Київ Караганди | 31/03-28/04/2016 по четвергах | 22000 | 23950 | 76:40 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1608&by_id=1
1610|124 | Костянтинівка Київ | з 27/03/2016 щоденно | 24140 | 22000 | 14:43 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1610&by_id=1
1613|12  | Новоолексіївка Київ | з 27/03/2016 щоденно | 22790 | 22000 | 13:24 | "СЛАВУТИЧ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1613&by_id=1
1621|92  | Львів Київ | 27/03-29/10/2016 щоденно | 23200 | 22000 | 7:39 | "ЛЬВІВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1621&by_id=1
1622|81  | Ужгород Київ | з 27/03/2016 щоденно, крім 5-21/04/2016 | 20095 | 22000 | 15:53 | "ДЕСНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1622&by_id=1
1625|192 | Львів Київ | 29,30/04, 3,7,9/05/2016 | 23200 | 22000 | 8:36 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1625&by_id=1
1626|63  | Харків Київ | з 27/03/2016 щоденно | 22100 | 22000 | 8:16 | "ОБЕРІГ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1626&by_id=1
1628|86  | Мінськ Київ | з 27/03/2016 щоденно | 21000 | 22000 | 10:10 | "БЕЛЫЙ АИСТ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1628&by_id=1
1633|771  | Київ Хмельницький | з 27/03/2016 щоденно, крім 5-20/04/2016 | 22000 | 22300 | 5:12 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1633&by_id=1
1634|207 | Київ Ужгород | 28,29,30/04, 6/05/2016 | 22000 | 20095 | 16:10 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1634&by_id=1
1635|142 | Львів Київ | з 30/10/2016 щоденно | 23200 | 22000 | 12:34 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1635&by_id=1
1636|778  | Шостка Київ | з 27/03/2016 щоденно | 22016 | 22000 | 3:55 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1636&by_id=1
1640|207 | Ужгород Київ | 29,30/04, 3,9/05/2016 | 20095 | 22000 | 16:54 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1640&by_id=1
1647|755  | Хмельницький Київ | з 27/03/2016 щоденно | 22300 | 22000 | 6:23 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1647&by_id=1
1650|81  | Київ Ужгород | з 27/03/2016 щоденно, крім 5-21/04/2016 | 22000 | 20095 | 15:36 | "ДЕСНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1650&by_id=1
1652|107 | Караганди Київ | 28/03-25/04/2016 по понеділках | 23950 | 22000 | 77:22 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1652&by_id=1
1654|53  | С.петербург Київ | з 28/03/2016 по парних, при двох непарних 28,30,2,4 | 20103 | 22000 | 22:32 | "ЛИБІДЬ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1654&by_id=1
1655|755  | Київ Хмельницький | з 27/03/2016 щоденно | 22000 | 22300 | 5:47 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1655&by_id=1
1657|121  | Київ Миколаїв | з 27/03/2016 щоденно | 22000 | 23536 | 9:21 | "МИКОЛАЇВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1657&by_id=1
1660|180 | Київ Дніпропетровськ | 30/04, 3,7,9/05/2016 | 22000 | 22700 | 8:59 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1660&by_id=1
1669|1201 | Варшава Київ | 26/03-11/06/2016 щоденно | 2191 | 22000 | 16:18 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1669&by_id=1
1670|769  | Київ Кам'янець-Подільсь | з 27/03/2016 щоденно | 22000 | 22260 | 7:16 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1670&by_id=1
1673|781  | Полтава Київ | з 27/03/2016 щоденно, крім вівторків; 3,10/05/2016 | 22590 | 22000 | 5:27 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1673&by_id=1
1674|191 | Київ Львів | 29,30/04, 3,7,9/05/2016 | 22000 | 23200 | 8:20 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1674&by_id=1
1677|24  | Одеса Москва | з 27/03/2016 щоденно, крім 4-28/04/2016 | 23600 | 20007 | 23:36 | "ОДЕССА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1677&by_id=1
1679|73 | Москва Львів | з 27/03/2016 щоденно, крім 4-20/04/2016 | 20007 | 23200 | 24:18 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1679&by_id=1
1680|269 | Івано-Франківськ Київ | 29,30/04, 3,9/05/2016 | 23000 | 22000 | 13:28 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1680&by_id=1
1682|76  | Кривий Ріг Київ | з 27/03/2016 щоденно (крім 4-22/04/2016) | 22900 | 22000 | 8:16 | "КРИВОРІЖЖЯ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1682&by_id=1
1685|99 | Ужгород Київ | з 27/03/2016 щоденно | 20095 | 22000 | 14:47 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1685&by_id=1
1687|122  | Миколаїв Київ | з 27/03/2016 щоденно | 23536 | 22000 | 10:01 | "МИКОЛАЇВ" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1687&by_id=1
1691|778  | Київ Шостка | з 27/03/2016 щоденно, крім 4-28/04/2016 | 22000 | 22016 | 4:09 | "ПОДІЛЬСЬКИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1691&by_id=1
1694|779  | Суми Київ | з 27/03/2016 щоденно, крім 5-29/04/2016 | 22450 | 22000 | 4:13 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1694&by_id=1
1695|298 | Київ Миколаїв | 29,30/04, 4,6,10,11/05/2016 | 22000 | 23536 | 13:27 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1695&by_id=1
1698|112  | Львів Харків | 27/03-3/04/2016 щоденно | 23200 | 22100 | 19:57 | "СЛОБОЖАНЩИНА" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1698&by_id=1
1700|298 | Миколаїв Київ | 28,29/04, 3,5,9,10/05/2016 | 23536 | 22000 | 13:54 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1700&by_id=1
1701|124 | Київ Костянтинівка | з 27/03/2016 щоденно | 22000 | 24140 | 14:59 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1701&by_id=1
1702|43 | Київ Івано-Франківськ | з 27/03/2016 щоденно | 22000 | 23000 | 10:54 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1702&by_id=1
1703|179 | Дніпропетровськ Київ | 30/04, 3,7,9/05/2016 | 22700 | 22000 | 10:35 |   | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1703&by_id=1
1706|768  | Ковель Київ | з 27/03/2016 щоденно | 23020 | 22000 | 8:18 | "СТОЛИЧНИЙ ЕКСПРЕС" | false | http://www.uz.gov.ua/passengers/timetable/?ntrain=1706&by_id=1
